#SampleID	Accession_number	Species	geographic_region	life_style	life_style_2	life_style_3	population	HCA	species_population	lifestyle_species	phyl_group	phyl_group2	phyl_group3	phyl_group_lifestyle	ecol_group
11212.JB17	ERS1931332	Papio_hamadryas	Africa	na	na	na	Ethiopia	keep	Papio_hamadryas	Papio_hamadryas	OWM	OWM	NHP	OWM	Savannah
11212.JB18	ERS1931333	Papio_hamadryas	Africa	na	na	na	Ethiopia	keep	Papio_hamadryas	Papio_hamadryas	OWM	OWM	NHP	OWM	Savannah
11212.JB19	ERS1931334	Papio_hamadryas	Africa	na	na	na	Ethiopia	keep	Papio_hamadryas	Papio_hamadryas	OWM	OWM	NHP	OWM	Savannah
11212.JB24	ERS1931335	Papio_anubis	Africa	na	na	na	Ethiopia	keep	Papio_anubis	Papio_anubis	OWM	OWM	NHP	OWM	Savannah
11212.JB25	ERS1931336	Papio_anubis	Africa	na	na	na	Ethiopia	keep	Papio_anubis	Papio_anubis	OWM	OWM	NHP	OWM	Savannah
11212.JB26	ERS1931337	Papio_hamadryas	Africa	na	na	na	Ethiopia	keep	Papio_anubis	Papio_anubis	OWM	OWM	NHP	OWM	Savannah
11212.JB27	ERS1931338	Theropithecus_gelada	Africa	na	na	na	Ethiopia	keep	Theropithecus_gelada	Theropithecus_gelada	OWM	OWM	NHP	OWM	Savannah
11212.JB28	ERS1931339	Papio_anubis	Africa	na	na	na	Ethiopia	keep	Papio_anubis	Papio_anubis	OWM	OWM	NHP	OWM	Savannah
11212.JB29	ERS1931340	Theropithecus_gelada	Africa	na	na	na	Ethiopia	keep	Theropithecus_gelada	Theropithecus_gelada	OWM	OWM	NHP	OWM	Savannah
11212.JB3	ERS1931341	Theropithecus_gelada	Africa	na	na	na	Ethiopia	keep	Theropithecus_gelada	Theropithecus_gelada	OWM	OWM	NHP	OWM	Savannah
11212.JB30	ERS1931342	Papio_anubis	Africa	na	na	na	Ethiopia	keep	Papio_anubis	Papio_anubis	OWM	OWM	NHP	OWM	Savannah
11212.JB31	ERS1931343	Papio_anubis	Africa	na	na	na	Ethiopia	keep	Papio_anubis	Papio_anubis	OWM	OWM	NHP	OWM	Savannah
11212.JB32	ERS1931344	Theropithecus_gelada	Africa	na	na	na	Ethiopia	keep	Theropithecus_gelada	Theropithecus_gelada	OWM	OWM	NHP	OWM	Savannah
11212.JB34	ERS1931345	Theropithecus_gelada	Africa	na	na	na	Ethiopia	keep	Theropithecus_gelada	Theropithecus_gelada	OWM	OWM	NHP	OWM	Savannah
11212.JB35	ERS1931346	Theropithecus_gelada	Africa	na	na	na	Ethiopia	keep	Theropithecus_gelada	Theropithecus_gelada	OWM	OWM	NHP	OWM	Savannah
11212.JB4	ERS1931347	Papio_anubis	Africa	na	na	na	Ethiopia	keep	Papio_anubis	Papio_anubis	OWM	OWM	NHP	OWM	Savannah
